time,a_x,a_y,a_z
200410076.4339139,1.5399119704234054e-06,-3.5519763064178577e-06,-1.659976227099307e-08
200453276.4339139,1.5615253868096415e-06,-3.541462034183208e-06,-1.6677008044771925e-08
200496476.4339139,1.5830623915682469e-06,-3.5308182436706086e-06,-1.675423574648972e-08
200539676.4339139,1.6045222340738126e-06,-3.520045533435768e-06,-1.6831442405259266e-08
200582876.4339139,1.6259041687969287e-06,-3.509144506014163e-06,-1.690862505860163e-08
200626076.4339139,1.6472074553194163e-06,-3.4981157678739908e-06,-1.6985780752554436e-08
200669276.4339139,1.6684313583490998e-06,-3.4869599293691607e-06,-1.7062906541778732e-08
200712476.4339139,1.6895751477341305e-06,-3.4756776046923674e-06,-1.7139999489664664e-08
200755676.4339139,1.7106380984768354e-06,-3.4642694118281785e-06,-1.7217056668435563e-08
200798876.4339139,1.731619490747126e-06,-3.452735972506215e-06,-1.729407515925086e-08
200842076.4339139,1.7525186098954451e-06,-3.4410779121543797e-06,-1.7371052052307528e-08
200885276.4339139,1.7733347464652736e-06,-3.429295859852167e-06,-1.7447984446940257e-08
200928476.4339139,1.7940671962051771e-06,-3.417390448284028e-06,-1.7524869451720147e-08
200971676.4339139,1.8147152600804275e-06,-3.4053623136928374e-06,-1.76017041845522e-08
201014876.4339139,1.8352782442841625e-06,-3.3932120958334206e-06,-1.767848577277132e-08
201058076.4339139,1.8557554602481238e-06,-3.3809404379261858e-06,-1.7755211353237045e-08
201101276.4339139,1.876146224652949e-06,-3.36854798661083e-06,-1.7831878072426893e-08
201144476.4339139,1.8964498594380375e-06,-3.356035391900153e-06,-1.7908483086528382e-08
201187676.4339139,1.9166656918109815e-06,-3.343403307133968e-06,-1.798502356152968e-08
201230876.4339139,1.936793054256575e-06,-3.3306523889331027e-06,-1.806149667330892e-08
201274076.4339139,1.9568312845453973e-06,-3.3177832971535367e-06,-1.813789960772223e-08
201317276.4339139,1.97677972574197e-06,-3.304796694840604e-06,-1.8214229560690277e-08
201360476.4339139,1.9966377262125103e-06,-3.291693248183363e-06,-1.8290483738283693e-08
201403676.4339139,2.0164046396322574e-06,-3.278473626469045e-06,-1.8366659356806996e-08
201446876.4339139,2.0360798249923867e-06,-3.2651385020376396e-06,-1.84427536428812e-08
201490076.4339139,2.0556626466065276e-06,-3.25168855023661e-06,-1.8518763833525233e-08
201533276.4339139,2.0751524741168688e-06,-3.238124449375735e-06,-1.8594687176235897e-08
201576476.4339139,2.0945486824998598e-06,-3.2244468806820845e-06,-1.8670520929066594e-08
201619676.4339139,2.1138506520715115e-06,-3.210656528255116e-06,-1.874626236070461e-08
201662876.4339139,2.133057768492318e-06,-3.1967540790219475e-06,-1.8821908750547343e-08
201706076.4339139,2.1521694227717658e-06,-3.1827402226927413e-06,-1.889745738877696e-08
201749276.4339139,2.171185011272469e-06,-3.1686156517162487e-06,-1.8972905576433932e-08
201792476.4339139,2.1901039357139043e-06,-3.154381061235499e-06,-1.904825062548915e-08
201835676.4339139,2.2089256031757872e-06,-3.1400371490436578e-06,-1.9123489858914896e-08
201878876.4339139,2.227649426101044e-06,-3.1255846155400203e-06,-1.9198620610754397e-08
201922076.4339139,2.246274822298427e-06,-3.1110241636861797e-06,-1.9273640226190168e-08
201965276.4339139,2.2648012149447486e-06,-3.096356498962353e-06,-1.934854606161107e-08
202008476.4339139,2.2832280325867516e-06,-3.0815823293238783e-06,-1.942333548467809e-08
202051676.4339139,2.3015547091426124e-06,-3.066702365157873e-06,-1.9498005874388864e-08
202094876.4339139,2.3197806839030855e-06,-3.051717319240075e-06,-1.9572554621140973e-08
202138076.4339139,2.337905401532287e-06,-3.0366279066918473e-06,-1.9646979126793924e-08
202181276.4339139,2.3559283120681277e-06,-3.0214348449373713e-06,-1.9721276804729942e-08
202224476.4339139,2.3738488709223914e-06,-3.006138853661012e-06,-1.979544507991349e-08
202267676.4339139,2.3916665388804694e-06,-2.9907406547648728e-06,-1.9869481388949587e-08
202310876.4339139,2.4093807821007496e-06,-2.975240972326533e-06,-1.9943383180140858e-08
202354076.4339139,2.4269910721136697e-06,-2.9596405325569793e-06,-2.0017147913543404e-08
202397276.4339139,2.4444968858204243e-06,-2.943940063758716e-06,-2.0090773061021433e-08
202440476.4339139,2.4618977054913517e-06,-2.9281402962840847e-06,-2.016425610630069e-08
202483676.4339139,2.479193018763986e-06,-2.9122419624937713e-06,-2.023759454502069e-08
202526876.4339139,2.496382318640781e-06,-2.8962457967155137e-06,-2.0310785884785788e-08
202570076.4339139,2.513465103486512e-06,-2.880152535203003e-06,-2.0383827645214943e-08
202613276.4339139,2.530440877025373e-06,-2.863962916095008e-06,-2.0456717357990493e-08
202656476.4339139,2.5473091483377403e-06,-2.8476776793746786e-06,-2.0529452566905596e-08
202699676.4339139,2.5640694318566306e-06,-2.8312975668290747e-06,-2.060203082791053e-08
202742876.4339139,2.5807212473638725e-06,-2.81482332200891e-06,-2.0674449709158008e-08
202786076.4339139,2.5972641199859375e-06,-2.79825569018848e-06,-2.074670679104702e-08
202829276.4339139,2.6136975801895047e-06,-2.7815954183258352e-06,-2.0818799666265844e-08
202872476.4339139,2.6300211637767106e-06,-2.76484325502315e-06,-2.089072593983375e-08
202915676.4339139,2.646234411880116e-06,-2.74799995048732e-06,-2.0962483229141627e-08
202958876.4339139,2.6623368709573793e-06,-2.7310662564907704e-06,-2.103406916399149e-08
203002076.4339139,2.6783280927856435e-06,-2.7140429263324933e-06,-2.1105481386634833e-08
203045276.4339139,2.694207634455648e-06,-2.6969307147993007e-06,-2.1176717551809964e-08
203088476.4339139,2.709975058365562e-06,-2.6797303781273106e-06,-2.124777532677816e-08
203131676.4339139,2.7256299322145377e-06,-2.662442673963653e-06,-2.1318652391358794e-08
203174876.4339139,2.741171828996002e-06,-2.645068361328406e-06,-2.138934643796333e-08
203218076.4339139,2.7566003269906746e-06,-2.6276082005767606e-06,-2.145985517162829e-08
203261276.4339139,2.77191500975933e-06,-2.610062953361419e-06,-2.153017631004713e-08
203304476.4339139,2.7871154661352957e-06,-2.592433382595226e-06,-2.16003075836011e-08
203347676.4339139,2.802201290216695e-06,-2.5747202524140236e-06,-2.1670246735388986e-08
203390876.4339139,2.817172081358449e-06,-2.5569243281397598e-06,-2.1739991521255895e-08
203434076.4339139,2.832027444164015e-06,-2.5390463762438212e-06,-2.1809539709820998e-08
203477276.4339139,2.84676698847689e-06,-2.521087164310598e-06,-2.1878889082504167e-08
203520476.4339139,2.8613903293718727e-06,-2.5030474610013037e-06,-2.19480374335517e-08
203563676.4339139,2.8758970871460916e-06,-2.4849280360180255e-06,-2.2016982570061017e-08
203606876.4339139,2.8902868873097943e-06,-2.4667296600680155e-06,-2.2085722312004345e-08
203650076.4339139,2.904559360576909e-06,-2.448453104828225e-06,-2.2154254492251393e-08
203693276.4339139,2.9187141428553885e-06,-2.4300991429100885e-06,-2.2222576956591154e-08
203736476.4339139,2.932750875237319e-06,-2.4116685478245396e-06,-2.2290687563752592e-08
203779676.4339139,2.946669203988822e-06,-2.3931620939472846e-06,-2.2358584185424517e-08
203822876.4339139,2.960468780539737e-06,-2.374580556484314e-06,-2.24262647062744e-08
203866076.4339139,2.97414926147309e-06,-2.35592471143766e-06,-2.2493727023966276e-08
203909276.4339139,2.9877103085143645e-06,-2.337195335571414e-06,-2.2560969049177796e-08
203952476.4339139,3.001151588520558e-06,-2.3183932063779743e-06,-2.2627988705616233e-08
203995676.4339139,3.014472773469044e-06,-2.2995191020445554e-06,-2.2694783930033652e-08
204038876.4339139,3.0276735404462394e-06,-2.2805738014199445e-06,-2.2761352672241168e-08
204082076.4339139,3.0407535716360735e-06,-2.261558083981505e-06,-2.2827692895122302e-08
204125276.4339139,3.053712554308274e-06,-2.242472729802435e-06,-2.289380257464543e-08
204168476.4339139,3.0665501808064627e-06,-2.2233185195192747e-06,-2.295967969987543e-08
204211676.4339139,3.0792661485360676e-06,-2.2040962342996607e-06,-2.3025322272984342e-08
204254876.4339139,3.0918601599520693e-06,-2.1848066558103483e-06,-2.3090728309261325e-08
204298076.4339139,3.1043319225465497e-06,-2.1654505661854654e-06,-2.3155895837121598e-08
204341276.4339139,3.116681148836091e-06,-2.1460287479950334e-06,-2.3220822898114705e-08
204384476.4339139,3.128907556348995e-06,-2.1265419842137396e-06,-2.3285507546931817e-08
204427676.4339139,3.1410108676123407e-06,-2.106991058189957e-06,-2.334994785141233e-08
204470876.4339139,3.1529908101388804e-06,-2.0873767536150242e-06,-2.3414141892549536e-08
204514076.4339139,3.1648471164137836e-06,-2.0676998544927756e-06,-2.3478087764495646e-08
204557276.4339139,3.1765795238812147e-06,-2.047961145109326e-06,-2.354178357456584e-08
204600476.4339139,3.1881877749307695e-06,-2.0281614100031085e-06,-2.360522744324169e-08
